row,age,username,freq,services,netflix,amazon,Showtime,youtube,fuboTV,Crackle,Discovery+,CBS All Access,Rent or Buy,Apple TV+,hulu,Philo,FOX,PlutoTV,HBO MAX,Starz,Disney+,IMDb TV,FX,Tubi,NBC,Peacock
0,29,elsie_farrell,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,57,candace_winfrey,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
2,52,wilhelmina_hancock,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'Showtime': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
3,24,jane_vogel,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
4,37,dion_landis,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
5,74,franklyn_sellers,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
6,38,lynne_parson,2-FEW_TIMES_WEEK,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
7,70,edison_scroggins,1-DAILY,"{'Crackle': 1, 'Discovery+': 1}",,,,,,1.0,1.0,,,,,,,,,,,,,,,
8,60,floyd_aguilera,1-DAILY,"{'CBS All Access': 1, 'Rent or Buy': 1, 'youtube': 1}",,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
9,53,betty_antonio,3-FEWER_THREE_PER_MONTH,{'Apple TV+': 1},,,,,,,,,,1.0,,,,,,,,,,,,
10,35,janie_snell,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
11,54,quincy_hughey,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
12,30,otha_seward,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Philo': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
13,18,dwayne_coles,1-DAILY,"{'amazon': 1, 'youtube': 1, 'FOX': 1}",,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,
14,45,annmarie_wilkerson,3-FEWER_THREE_PER_MONTH,"{'Showtime': 1, 'youtube': 1, 'PlutoTV': 1}",,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
15,25,marcela_hiatt,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
16,55,renae_goins,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'netflix': 1}",1.0,,,,,,,,,,,,,,1.0,,,,,,,
17,22,ruby_sweat,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'netflix': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
18,67,lenny_pereira,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
19,34,carol_rodrigues,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
21,56,elida_cannon,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
22,49,venessa_centeno,1-DAILY,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
23,20,sammy_valenti,2-FEW_TIMES_WEEK,{'Crackle': 1},,,,,,1.0,,,,,,,,,,,,,,,,
24,45,winston_albert,1-DAILY,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
25,74,cassie_parsons,2-FEW_TIMES_WEEK,"{'netflix': 1, 'CBS All Access': 1}",1.0,,,,,,,1.0,,,,,,,,,,,,,,
27,71,lizette_heinrich,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
28,41,rose_bryan,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
29,33,bobbie_clemente,1-DAILY,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
30,47,griselda_gladden,2-FEW_TIMES_WEEK,"{'FOX': 1, 'Discovery+': 1}",,,,,,,1.0,,,,,,1.0,,,,,,,,,
31,24,sonja_talley,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Crackle': 1}",1.0,,,,,1.0,,,,,,,,,,,,,,,,
33,56,tomasa_santoro,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'Philo': 1}",,1.0,,,,,,,,,,1.0,,,,,,,,,,
35,44,gustavo_may,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
36,43,darnell_schmidt,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
38,69,mattie_healey,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
39,66,stefan_styles,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'Starz': 1}",,,,,,,,,,,,,,,1.0,1.0,,,,,,
40,34,hester_lindstrom,2-FEW_TIMES_WEEK,"{'youtube': 1, 'netflix': 1, 'amazon': 1}",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
