username,services,freq
fabian_couture,[30],1
winford_underwood,"[80, 12]",2
darell_akers,[30],1
don_macon,[54],1
glenda_corona,"[30, 34]",2
mozelle_mcgowan,[80],3
allen_fenwick,[24],1
madeline_maxey,"[30, 34]",3
travis_everhart,[30],2
brittney_cramer,[37],3
sean_howes,"[80, 30]",3
rodrick_groves,[34],3
isabelle_hawes,[30],2
sun_fennell,[30],3
xavier_click,[34],3
lora_gorham,"[80, 34]",1
maryellen_eng,"[80, 37]",1
chrystal_conte,[34],1
shante_sibley,[6],3
trenton_broyles,"[30, 80]",1
roxanna_tallent,"[80, 34]",2
christin_erickson,[24],3
lyndon_wallace,[20],3
mose_neill,"[34, 80]",1
therese_fountain,[80],2
israel_ortega,"[37, 34]",2
teri_wicker,[80],3
gena_mccord,[80],1
morris_beeler,"[37, 30]",3
dianne_byrne,"[30, 34]",2
marcus_lachance,[80],3
king_folsom,"[34, 80]",1
lessie_conaway,"[24, 34]",2
frankie_vickers,[40],3
alma_shanahan,[80],3
clarice_rodman,"[38, 80]",3
roxanna_cardenas,[80],3
delmar_stanfield,"[36, 34]",3
jeffrey_snyder,[80],3
sammie_vanburen,"[34, 1]",3
janine_hilliard,"[40, 34, 37]",3
carla_tamayo,[80],1
taryn_beamon,"[30, 80, 34]",1
rafael_macleod,"[37, 54]",3
denice_slaughter,"[34, 36, 15]",3
ahmed_kirk,[80],3
aura_legg,"[34, 30, 80]",1
wendi_lindstrom,"[37, 30]",1
misti_schiller,"[30, 20]",3
ezekiel_sibley,"[24, 30]",2
delia_land,[80],1
ginny_schafer,"[34, 3]",3
alba_berlin,[34],3
ellie_osborne,[12],2
rafaela_holland,"[34, 80]",2
dominick_schofield,"[37, 24]",2
richie_bunting,[34],3
dewey_ivey,"[30, 21]",2
elvis_herbert,[20],1
latasha_grubb,[37],3
lia_castro,[36],3
lettie_haney,"[40, 28]",1
amos_clements,[34],1
thaddeus_caraballo,[34],3
hilario_neil,"[21, 62, 38, 37]",1
levi_camara,"[30, 34]",2
maritza_hanlon,[37],3
tom_trotter,"[34, 30]",2
clarence_connolly,[34],1
ester_mcclendon,"[38, 80, 6, 34]",3
jerrod_figueroa,[40],3
precious_conyers,[34],3
doyle_starkey,"[34, 28, 37]",2
harriette_pearl,"[80, 34, 30]",2
adelina_landis,"[30, 80]",1
louise_stephenson,"[37, 80]",1
lenora_velazquez,[],2
