username,services,freq,User_Id
fabian_couture,[30],1,16
winford_underwood,"[80, 12]",2,17
darell_akers,[30],1,18
don_macon,[54],1,19
glenda_corona,"[30, 34]",2,20
mozelle_mcgowan,[80],3,21
allen_fenwick,[24],1,22
madeline_maxey,"[30, 34]",3,23
travis_everhart,[30],2,24
brittney_cramer,[37],3,25
sean_howes,"[80, 30]",3,26
rodrick_groves,[34],3,27
isabelle_hawes,[30],2,28
sun_fennell,[30],3,29
xavier_click,[34],3,30
lora_gorham,"[80, 34]",1,31
maryellen_eng,"[80, 37]",1,32
chrystal_conte,[34],1,33
shante_sibley,[6],3,34
trenton_broyles,"[30, 80]",1,35
roxanna_tallent,"[80, 34]",2,36
christin_erickson,[24],3,37
lyndon_wallace,[20],3,38
mose_neill,"[34, 80]",1,39
therese_fountain,[80],2,40
israel_ortega,"[37, 34]",2,41
teri_wicker,[80],3,42
gena_mccord,[80],1,43
morris_beeler,"[37, 30]",3,44
dianne_byrne,"[30, 34]",2,45
marcus_lachance,[80],3,46
king_folsom,"[34, 80]",1,47
lessie_conaway,"[24, 34]",2,48
frankie_vickers,[40],3,49
alma_shanahan,[80],3,50
clarice_rodman,"[38, 80]",3,51
roxanna_cardenas,[80],3,52
delmar_stanfield,"[36, 34]",3,53
jeffrey_snyder,[80],3,54
sammie_vanburen,"[34, 1]",3,55
janine_hilliard,"[40, 34, 37]",3,56
carla_tamayo,[80],1,57
taryn_beamon,"[30, 80, 34]",1,58
rafael_macleod,"[37, 54]",3,59
denice_slaughter,"[34, 36, 15]",3,60
ahmed_kirk,[80],3,61
aura_legg,"[34, 30, 80]",1,62
wendi_lindstrom,"[37, 30]",1,63
misti_schiller,"[30, 20]",3,64
ezekiel_sibley,"[24, 30]",2,65
delia_land,[80],1,66
ginny_schafer,"[34, 3]",3,67
alba_berlin,[34],3,68
ellie_osborne,[12],2,69
rafaela_holland,"[34, 80]",2,70
dominick_schofield,"[37, 24]",2,71
richie_bunting,[34],3,72
dewey_ivey,"[30, 21]",2,73
elvis_herbert,[20],1,74
latasha_grubb,[37],3,75
lia_castro,[36],3,76
lettie_haney,"[40, 28]",1,77
amos_clements,[34],1,78
thaddeus_caraballo,[34],3,79
hilario_neil,"[21, 62, 38, 37]",1,80
levi_camara,"[30, 34]",2,81
maritza_hanlon,[37],3,82
tom_trotter,"[34, 30]",2,83
clarence_connolly,[34],1,84
ester_mcclendon,"[38, 80, 6, 34]",3,85
jerrod_figueroa,[40],3,86
precious_conyers,[34],3,87
doyle_starkey,"[34, 28, 37]",2,88
harriette_pearl,"[80, 34, 30]",2,89
adelina_landis,"[30, 80]",1,90
louise_stephenson,"[37, 80]",1,91
lenora_velazquez,[],2,92
willie_keel,"[80, 1]",3,93
emmitt_crook,"[53, 80]",3,94
guillermina_meehan,[34],1,95
calvin_tisdale,[80],1,96
virgie_orlando,"[37, 34]",2,97
bradly_varela,[80],1,98
jayne_crews,"[37, 34]",2,99
abraham_hite,[36],2,100
chad_arriola,"[80, 34, 40]",1,101
belle_krueger,"[80, 34]",1,102
cedric_hardison,"[80, 34]",2,103
delbert_dodds,[30],2,104
dustin_payne,"[34, 80]",2,105
antionette_rains,[34],1,106
jame_locke,"[30, 80]",2,107
judy_cornejo,"[1, 34]",3,108
ervin_gould,"[34, 80]",1,109
viola_griffin,"[37, 15]",2,110
anderson_mulligan,"[37, 30]",2,111
garland_coy,"[37, 30, 20]",1,112
stacey_quintanilla,[80],3,113
natalie_montalvo,[34],1,114
derrick_mcclanahan,[36],1,115
alfred_danielson,"[34, 80]",2,116
jewel_ledet,"[30, 4]",1,117
gillian_custer,[24],2,118
madeleine_schindler,[37],2,119
diego_cannon,[36],3,120
denis_solis,"[40, 34]",1,121
marcelle_call,[37],1,122
josie_ross,[34],1,123
carmen_rawlins,"[30, 80]",2,124
vera_magnuson,[80],1,125
adell_shively,"[37, 28, 80]",1,126
mack_summers,[36],1,127
brandy_cooksey,[80],2,128
mattie_danner,[34],2,129
rosalind_arce,[34],3,130
alec_archie,"[30, 34, 38]",1,131
kraig_traylor,"[80, 34, 21]",3,132
adam_harbin,[34],1,133
devon_sherry,"[37, 80]",2,134
ray_montalvo,[34],2,135
odell_power,"[34, 8, 30]",2,136
elida_bolin,"[80, 20]",2,137
alicia_evans,"[80, 1]",1,138
stacie_cassidy,"[34, 80]",1,139
riley_lancaster,"[24, 34, 80]",1,140
nelson_lattimore,"[34, 21, 30]",3,141
frederick_spooner,"[28, 37]",2,142
nita_obryan,"[20, 30, 37]",1,143
ira_madsen,"[30, 80]",2,144
adrienne_roe,"[21, 24]",3,145
darell_forster,"[1, 80, 37]",2,146
eloisa_ryan,[34],2,147
maya_fajardo,"[34, 80]",2,148
truman_vest,"[24, 38]",2,149
mercedes_maples,[34],1,150
elliot_fitts,[34],2,151
carolina_quinonez,[15],3,152
theodore_elder,"[34, 24, 21]",1,153
erin_delacruz,[80],2,154
elsie_robbins,[34],1,155
cyrus_lilley,"[36, 21, 80]",2,156
hubert_spinks,"[3, 36]",1,157
jennifer_bellamy,"[62, 34]",3,158
gavin_purdy,[34],3,159
helene_calderon,"[12, 80, 34]",1,160
carlene_singletary,"[34, 28]",1,161
haydee_cloutier,[4],1,162
laurie_pacheco,"[34, 80]",1,163
kendall_canada,"[80, 34]",1,164
hosea_catron,"[37, 80]",3,165
lilia_staley,[34],2,166
clayton_cary,"[21, 34]",3,167
celia_winn,[21],2,168
kristin_guillory,"[20, 34, 80]",1,169
erik_holmes,"[80, 30]",1,170
benedict_funk,"[37, 34]",2,171
tommy_reinhardt,"[4, 34]",1,172
virgil_urbina,[34],3,173
gil_phillips,[1],2,174
charleen_swank,"[30, 34]",2,175
isaias_townes,"[20, 4]",2,176
delbert_estep,[34],2,177
stuart_breedlove,"[37, 30]",3,178
amelia_maddox,"[20, 37, 30]",1,179
reinaldo_spence,"[34, 37]",3,180
georgiana_mackenzie,"[37, 34, 12]",3,181
matthew_tomlinson,"[36, 30]",2,182
toby_pointer,"[80, 34]",1,183
vicente_orr,"[1, 40]",1,184
lona_overton,[30],3,185
rhonda_lawton,"[37, 34]",1,186
alfredo_vanhoose,"[62, 34]",3,187
tiana_durr,"[80, 40, 36]",2,188
tori_montano,"[34, 37]",1,189
kim_squires,"[30, 80, 34]",1,190
harriett_albright,"[34, 80, 21]",2,191
cordell_macklin,"[15, 80]",2,192
liz_sessions,[80],1,193
lucile_meehan,"[53, 30]",2,194
shauna_ethridge,[34],3,195
isabell_hardesty,"[28, 36, 3]",3,196
chastity_guillen,"[34, 37]",1,197
anastasia_muncy,[4],2,198
jerrold_hooks,[37],1,199
jefferey_streeter,[34],3,200
marion_francis,"[30, 3]",1,201
vicente_hudspeth,"[4, 34]",3,202
ma_handley,"[80, 30]",1,203
sherwood_huskey,[15],1,204
carlton_gilbreath,[34],3,205
samuel_dunn,[80],3,206
isaac_altman,[37],2,207
anton_rosales,"[3, 34, 80]",2,208
aurelio_rushing,[36],1,209
cletus_kolb,[34],2,210
reina_key,"[80, 34]",2,211
rocky_calvin,"[34, 80]",3,212
autumn_valles,[30],3,213
blaine_padilla,[80],1,214
roberto_kimbrell,[6],2,215
anibal_hooks,"[38, 80]",3,216
jordan_roche,"[34, 80]",2,217
megan_lindberg,"[80, 37]",1,218
chloe_bullock,"[34, 37]",1,219
arlen_drake,[80],2,220
genaro_henning,"[80, 12, 34]",2,221
zack_perry,"[30, 80, 24]",3,222
elnora_petersen,[34],2,223
laurel_orlando,[34],1,224
faustino_wilmoth,"[62, 34]",2,225
